Metric,Value,Unit,Source,Data Point
Market Cap,"₹ 5,88,528 Cr",Cr,Screener,Current snapshot
Current Price,"₹ 4,278",₹,Screener,Current snapshot
Stock P/E,52.0,x,Screener,Current snapshot
Book Value,₹ 494,₹,Screener,Current snapshot
Dividend Yield,0.79 %,%,Screener,Current snapshot
ROCE,18.5 %,%,Screener,Current snapshot
ROE,17.1 %,%,Screener,Current snapshot
Face Value,₹ 2.00,₹,Screener,Current snapshot
