Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Unit,Source
Debtor Days,139,148,110,111,112,125,124,139,131,110,107,98,Days,Screener
Inventory Days,30,33,26,24,30,35,29,29,26,25,23,20,Days,Screener
Days Payable,247,275,296,324,370,378,383,405,384,309,265,224,Days,Screener
Cash Conversion Cycle,-78,-94,-160,-190,-228,-218,-230,-237,-226,-174,-135,-106,Days,Screener
Working Capital Days,45,63,58,61,51,38,19,34,34,25,11,-2,Days,Screener
ROCE %,18%,16%,13%,13%,14%,16%,13%,12%,13%,14%,15%,19%,%,Screener
