Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Unit,Source
Cash from Operating Activity +,"4,449","-2,340",-292,"4,379","-21,878","-24,661","-57,641","55,428","23,623","-25,626","9,596","6,062",Cr,Screener
Cash from Investing Activity +,"-2,799","-3,608","-4,036","-4,477","-8,685","-6,223","14,096",440,"-14,548","-13,023","-12,447","8,524",Cr,Screener
Cash from Financing Activity +,176,"7,574","4,989","11,429","35,748","33,039","25,038","-34,942","8,256","11,284","2,506","-5,456",Cr,Screener
Net Cash Flow,"1,826","1,625",661,"11,331","5,185","2,155","-18,507","20,926","17,331","-27,365",-345,"9,129",Cr,Screener
