Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM,Unit,Source
Revenue +,"9,981","11,572","13,533","16,425","20,267","29,625","26,067","20,042","19,024","22,697","27,586","30,895","30,134",Cr,Screener
Interest,"7,265","8,084","8,967","10,627","12,530","19,816","19,261","12,613","12,526","14,780","19,491","21,951","20,720",Cr,Screener
Other Income +,"1,722","2,046","2,712","4,157","5,224","4,590","11,856","3,012","3,262","3,685","5,114","5,857","6,768",Cr,Screener
Depreciation,63,85,111,171,231,302,336,353,398,429,541,487,0,Cr,Screener
Profit before tax,"2,326","2,910","3,766","5,044","6,194","2,357","-20,826","-4,735","1,436",963,"1,500","3,168","4,160",Cr,Screener
Tax %,30%,31%,33%,34%,32%,27%,-21%,-27%,26%,26%,17%,24%,,%,Screener
Net Profit +,"1,618","2,005","2,539","3,330","4,225","1,720","-16,418","-3,462","1,066",717,"1,251","2,406","3,145",Cr,Screener
EPS in Rs,8.97,9.60,12.08,14.59,18.34,7.43,-13.08,-1.38,0.43,0.25,0.43,0.77,1.01,₹,Screener
Dividend Payout %,18%,19%,17%,16%,15%,27%,0%,0%,0%,0%,0%,0%,,%,Screener
