Metric,Value,Unit,Source,Data Point
Market Cap,"₹ 65,018 Cr",Cr,Screener,Current snapshot
Current Price,₹ 20,₹,Screener,Current snapshot
Stock P/E,20.7,x,Screener,Current snapshot
Book Value,₹ 16,₹,Screener,Current snapshot
Dividend Yield,0.00 %,%,Screener,Current snapshot
ROCE,6.34 %,%,Screener,Current snapshot
ROE,5.38 %,%,Screener,Current snapshot
Face Value,₹ 2.00,₹,Screener,Current snapshot
