Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Revenue +,"5,872","6,216","6,443","6,711","6,985","7,447","7,719","7,730","7,829","7,616","7,596","7,379","7,543",Cr,Screener
Interest,"3,901","4,111","4,444","4,786","4,968","5,294","5,475","5,530","5,606","5,340","5,224","5,078","5,078",Cr,Screener
Expenses +,"2,968","2,838","2,683","2,834","2,902","3,290","2,770","2,929","2,915","3,019","3,050","3,068","2,886",Cr,Screener
Financing Profit,-997,-733,-683,-909,-885,"-1,137",-525,-728,-692,-743,-678,-767,-421,Cr,Screener
Other Income +,"1,066","1,004","1,141","1,210","1,195","1,569","1,199","1,407","1,512","1,739","1,752","1,644","1,633",Cr,Screener
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0,Cr,Screener
Profit before tax,69,271,458,301,309,432,674,678,820,996,"1,074",878,"1,212",Cr,Screener
Net Profit +,52,202,343,225,231,452,502,553,612,738,801,654,952,Cr,Screener
EPS in Rs,0.02,0.07,0.12,0.08,0.08,0.16,0.16,0.18,0.20,0.24,0.26,0.21,0.30,₹,Screener
