Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Revenue +,"22,384","23,849","25,145","26,355","27,288","28,113","28,556","29,875","31,340","31,989","31,964","31,872","32,231",Cr,Screener
Interest,"13,205","14,350","15,641","16,432","16,995","17,750","18,080","19,358","20,308","21,232","21,386","21,403","21,698",Cr,Screener
Expenses +,"11,515","10,883","10,935","10,179","9,375","9,783","8,817","8,523","7,538","9,057","9,088","8,227","9,224",Cr,Screener
Financing Profit,"-2,335","-1,384","-1,431",-256,918,580,"1,659","1,993","3,494","1,700","1,490","2,242","1,309",Cr,Screener
Other Income +,"3,338","3,420","3,434","3,028","2,674","4,248","3,610","4,572","3,412","4,716","5,268","4,342","5,022",Cr,Screener
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0,Cr,Screener
Profit before tax,"1,003","2,036","2,003","2,772","3,592","4,828","5,269","6,565","6,906","6,416","6,758","6,584","6,331",Cr,Screener
Net Profit +,629,"1,159","1,255","1,756","2,223","3,010","3,252","4,303","4,508","4,567","1,675","4,904","5,100",Cr,Screener
EPS in Rs,0.57,1.05,1.14,1.59,2.02,2.73,2.95,3.74,3.92,3.97,1.46,4.27,4.44,₹,Screener
