Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM,Unit,Source
Revenue +,"43,223","46,315","47,424","47,276","47,996","51,310","53,800","80,818","74,880","85,144","106,902","121,761","128,056",Cr,Screener
Interest,"27,077","29,760","32,113","32,283","33,073","34,154","36,362","50,273","46,185","50,652","66,819","78,979","85,719",Cr,Screener
Other Income +,"4,577","5,891","6,000","8,951","8,881","7,377","9,274","11,922","12,320","12,143","13,384","16,309","19,348",Cr,Screener
Depreciation,352,370,396,425,576,578,608,975,889,897,895,948,0,Cr,Screener
Profit before tax,"4,691","3,957","-5,738","2,012","-19,575","-15,346",739,"3,479","4,316","4,288","13,194","25,156","26,089",Cr,Screener
Tax %,29%,23%,-31%,34%,-37%,-35%,55%,42%,20%,42%,38%,34%,,%,Screener
Net Profit +,"3,343","3,062","-3,974","1,325","-12,283","-9,975",336,"2,022","3,457","2,507","8,245","16,630","16,246",Cr,Screener
EPS in Rs,18.46,16.51,-20.24,6.23,-44.49,-21.67,0.50,1.93,3.14,2.28,7.49,14.47,14.14,₹,Screener
Dividend Payout %,11%,20%,0%,0%,0%,0%,0%,0%,20%,29%,20%,20%,,%,Screener
