Metric,Value,Unit,Source,Data Point
Market Cap,"₹ 1,48,765 Cr",Cr,Screener,Current snapshot
Current Price,₹ 129,₹,Screener,Current snapshot
Stock P/E,9.16,x,Screener,Current snapshot
Book Value,₹ 124,₹,Screener,Current snapshot
Dividend Yield,2.24 %,%,Screener,Current snapshot
ROCE,6.30 %,%,Screener,Current snapshot
ROE,14.2 %,%,Screener,Current snapshot
Face Value,₹ 2.00,₹,Screener,Current snapshot
