Metric,Value,Unit,Source,Data Point
Market Cap,"₹ 3,70,316 Cr",Cr,Screener,Current snapshot
Current Price,₹ 382,₹,Screener,Current snapshot
Stock P/E,18.3,x,Screener,Current snapshot
Book Value,₹ 173,₹,Screener,Current snapshot
Dividend Yield,2.19 %,%,Screener,Current snapshot
ROCE,12.2 %,%,Screener,Current snapshot
ROE,13.6 %,%,Screener,Current snapshot
Face Value,₹ 10.0,₹,Screener,Current snapshot
