Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Unit,Source
Debtor Days,27,38,40,38,33,34,58,85,75,58,62,62,Days,Screener
Cash Conversion Cycle,27,38,40,38,33,34,58,85,75,58,62,62,Days,Screener
Working Capital Days,-12,-39,-35,-49,-42,-61,-31,-48,-52,-22,-23,-17,Days,Screener
ROCE %,11%,8%,8%,9%,11%,6%,12%,9%,10%,11%,11%,12%,%,Screener
