Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Unit,Source
Cash from Operating Activity +,"15,732","14,235","23,987","20,014","19,250","16,157","21,584","27,058","37,898","42,351","34,756","41,318",Cr,Screener
Cash from Investing Activity +,"-13,980","-14,563","-18,346","-24,414","-20,390","-20,894","-27,247","-17,342","-18,080","-14,101","-15,044","-20,546",Cr,Screener
Cash from Financing Activity +,"-3,309","-1,878","-4,550","3,185","1,043","4,701","5,659","-9,646","-19,877","-28,365","-19,519","-20,968",Cr,Screener
Net Cash Flow,"-1,556","-2,206","1,092","-1,215",-97,-36,-4,70,-59,-114,194,-195,Cr,Screener
