Metric,Value,Unit,Source,Data Point
Market Cap,"₹ 5,09,317 Cr",Cr,Screener,Current snapshot
Current Price,"₹ 1,256",₹,Screener,Current snapshot
Stock P/E,17.8,x,Screener,Current snapshot
Book Value,₹ 179,₹,Screener,Current snapshot
Dividend Yield,3.42 %,%,Screener,Current snapshot
ROCE,40.6 %,%,Screener,Current snapshot
ROE,30.3 %,%,Screener,Current snapshot
Face Value,₹ 5.00,₹,Screener,Current snapshot
