Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Unit,Source
Cash from Operating Activity +,"4,922","2,444","4,071","5,761","8,663","7,876","6,888","8,373","8,754","2,808","11,848","15,568",Cr,Screener
Cash from Investing Activity +,"-3,232",-964,-671,-380,"-2,568","-5,437","-6,829","-4,170","-4,413","-6,553","-8,002","-6,056",Cr,Screener
Cash from Financing Activity +,"-1,397","-2,989","-3,318","-5,238","-5,470","-3,365",338,"-3,539","-4,186","2,552","-3,431","-9,212",Cr,Screener
Net Cash Flow,293,"-1,509",82,143,624,-925,398,664,155,"-1,194",415,301,Cr,Screener
