Metric,Value,Unit,Source,Data Point
Market Cap,"₹ 1,11,468 Cr",Cr,Screener,Current snapshot
Current Price,₹ 170,₹,Screener,Current snapshot
Stock P/E,14.4,x,Screener,Current snapshot
Book Value,₹ 112,₹,Screener,Current snapshot
Dividend Yield,4.42 %,%,Screener,Current snapshot
ROCE,15.3 %,%,Screener,Current snapshot
ROE,14.1 %,%,Screener,Current snapshot
Face Value,₹ 10.0,₹,Screener,Current snapshot
