Metric,Value,Unit,Source,Data Point
Market Cap,"₹ 1,07,360 Cr",Cr,Screener,Current snapshot
Current Price,"₹ 1,286",₹,Screener,Current snapshot
Stock P/E,23.1,x,Screener,Current snapshot
Book Value,₹ 378,₹,Screener,Current snapshot
Dividend Yield,0.62 %,%,Screener,Current snapshot
ROCE,25.8 %,%,Screener,Current snapshot
ROE,20.3 %,%,Screener,Current snapshot
Face Value,₹ 1.00,₹,Screener,Current snapshot
