Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Unit,Source
Cash from Operating Activity +,906,"1,786","2,747","1,016","1,539","2,762","1,839","3,514","1,339","5,053","3,450","4,225",Cr,Screener
Cash from Investing Activity +,-874,"-2,031","-1,919","1,430","-1,180",-546,"-1,689","-1,454","-1,990","-3,403","-3,429","-5,697",Cr,Screener
Cash from Financing Activity +,28,189,-693,"-2,582",-304,"-2,223",-224,-794,506,"-2,697",68,"1,591",Cr,Screener
Net Cash Flow,60,-56,135,-135,54,-8,-74,"1,266",-146,"-1,047",89,118,Cr,Screener
