Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Revenue +,"42,708","45,119","48,587","67,698","70,583","71,473","73,033","74,017","76,007","77,460","77,470","76,691","76,751",Cr,Screener
Interest,"19,720","21,768","24,988","40,313","42,111","42,396","43,196","43,903","45,354","45,394","46,032","45,139","44,136",Cr,Screener
Expenses +,"15,270","16,147","16,917","18,303","20,178","31,480","19,223","19,591","20,260","20,750","31,875","21,478","21,609",Cr,Screener
Financing Profit,"7,718","7,204","6,682","9,082","8,294","-2,404","10,614","10,523","10,393","11,316",-438,"10,073","11,006",Cr,Screener
Other Income +,"8,500","8,731","9,230","10,708","11,137","18,166","10,668","11,483","11,454","12,028","21,730","14,350","13,254",Cr,Screener
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0,Cr,Screener
Profit before tax,"16,218","15,936","15,912","19,790","19,431","15,763","21,283","22,005","21,847","23,344","21,292","24,423","24,260",Cr,Screener
Net Profit +,"12,259","12,047","11,952","15,976","16,373","16,512","16,175","16,821","16,736","17,616","18,155","18,641","18,654",Cr,Screener
EPS in Rs,10.99,10.80,10.69,10.54,10.78,10.87,10.63,11.02,10.94,11.51,11.84,12.13,12.12,₹,Screener
