Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Unit,Source
Cash from Operating Activity +,"8,364","-15,862","-30,132","23,585","26,074","-56,055","-16,690","41,495","-14,209","27,313","35,015","145,177",Cr,Screener
Cash from Investing Activity +,"-1,623","-1,933",-627,"-1,985",-523,"-1,231",-891,"-1,262","-1,126","-1,997","12,604","-1,845",Cr,Screener
Cash from Financing Activity +,"5,563","14,543","33,347","-11,568","48,411","15,718","22,852","-7,381","48,192","16,122","-22,237","-122,909",Cr,Screener
Net Cash Flow,"12,303","-3,252","2,587","10,033","73,963","-41,567","5,271","32,852","32,857","41,438","25,382","20,423",Cr,Screener
