Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM,Unit,Source
Revenue +,"41,136","48,470","60,221","69,306","80,241","98,972","114,813","120,858","127,753","161,586","258,341","300,517","308,372",Cr,Screener
Interest,"22,653","26,074","32,630","36,167","40,146","50,729","58,626","55,979","55,744","74,743","149,808","177,847","180,702",Cr,Screener
Other Income +,"7,920","8,996","10,752","12,296","15,220","17,626","23,261","25,205","29,510","31,215","49,241","45,632","61,362",Cr,Screener
Depreciation,672,656,706,833,906,"1,140","1,196","1,302","1,600","2,242","2,810","3,379",0,Cr,Screener
Profit before tax,"12,772","15,329","18,638","22,139","26,697","32,200","36,607","41,659","49,015","58,485","70,895","88,478","93,319",Cr,Screener
Tax %,34%,33%,34%,34%,34%,35%,28%,25%,25%,25%,14%,24%,,%,Screener
Net Profit +,"8,478","10,216","12,296","14,550","17,487","21,078","26,257","31,117","36,961","44,109","60,812","67,347","73,066",Cr,Screener
EPS in Rs,8.84,10.19,12.16,14.19,16.85,19.35,23.94,28.22,33.33,39.53,40.02,44.01,47.60,₹,Screener
Dividend Payout %,19%,20%,20%,19%,19%,19%,5%,12%,23%,24%,24%,25%,,%,Screener
