Metric,Value,Unit,Source,Data Point
Market Cap,"₹ 13,66,198 Cr",Cr,Screener,Current snapshot
Current Price,₹ 888,₹,Screener,Current snapshot
Stock P/E,18.7,x,Screener,Current snapshot
Book Value,₹ 350,₹,Screener,Current snapshot
Dividend Yield,1.24 %,%,Screener,Current snapshot
ROCE,7.35 %,%,Screener,Current snapshot
ROE,14.3 %,%,Screener,Current snapshot
Face Value,₹ 1.00,₹,Screener,Current snapshot
