Metric,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Unit,Source
Debtor Days,71,76,111,83,90,88,84,53,100,102,92,105,Days,Screener
Cash Conversion Cycle,71,76,111,83,90,88,84,53,100,102,92,105,Days,Screener
Working Capital Days,4,37,108,63,104,57,19,62,62,52,35,23,Days,Screener
ROCE %,54%,43%,30%,35%,34%,34%,33%,30%,30%,34%,38%,43%,%,Screener
