Metric,Value,Unit,Source,Data Point
Market Cap,"₹ 3,76,955 Cr",Cr,Screener,Current snapshot
Current Price,"₹ 1,389",₹,Screener,Current snapshot
Stock P/E,30.7,x,Screener,Current snapshot
Book Value,₹ 115,₹,Screener,Current snapshot
Dividend Yield,3.89 %,%,Screener,Current snapshot
ROCE,43.1 %,%,Screener,Current snapshot
ROE,32.6 %,%,Screener,Current snapshot
Face Value,₹ 2.00,₹,Screener,Current snapshot
