Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Revenue +,"9,214","9,717","10,665","11,408","12,103","12,760","13,724","14,488","15,371","15,797","16,697","17,184","18,068",Cr,Screener
Interest,"2,455","2,614","3,013","3,351","3,618","3,861","4,202","4,544","4,777","4,914","5,222","5,244","5,464",Cr,Screener
Expenses +,"3,111","3,153","3,505","3,723","4,033","4,158","4,736","5,105","5,434","5,753","5,693","5,998","7,606",Cr,Screener
Financing Profit,"3,647","3,950","4,147","4,334","4,451","4,741","4,786","4,839","5,160","5,129","5,782","5,943","4,998",Cr,Screener
Other Income +,1,2,1,2,2,4,2,"2,548",23,11,1,2,"1,167",Cr,Screener
Depreciation,108,123,143,145,162,179,186,196,205,236,236,242,227,Cr,Screener
Profit before tax,"3,540","3,830","4,005","4,191","4,291","4,566","4,602","7,191","4,978","4,905","5,546","5,703","5,938",Cr,Screener
Net Profit +,"2,624","2,837","2,959","3,106","3,177","3,402","3,402","5,614","3,706","3,940","4,133","4,251","4,581",Cr,Screener
EPS in Rs,4.33,4.69,4.88,5.13,5.14,5.50,5.50,9.07,5.99,6.34,6.65,6.83,7.36,₹,Screener
