Metric,Value,Unit,Source,Data Point
Market Cap,"₹ 6,19,697 Cr",Cr,Screener,Current snapshot
Current Price,₹ 996,₹,Screener,Current snapshot
Stock P/E,38.6,x,Screener,Current snapshot
Book Value,₹ 150,₹,Screener,Current snapshot
Dividend Yield,0.44 %,%,Screener,Current snapshot
ROCE,11.5 %,%,Screener,Current snapshot
ROE,18.5 %,%,Screener,Current snapshot
Face Value,₹ 1.00,₹,Screener,Current snapshot
