Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM,Unit,Source
Revenue +,"4,042","5,392","7,298","9,966","12,639","17,386","23,823","23,537","27,872","35,684","46,939","61,949","67,746",Cr,Screener
Interest,"1,592","2,274","2,959","3,853","4,649","6,037","7,990","7,550","7,678","9,424","14,003","18,657","20,844",Cr,Screener
Other Income +,32,26,35,23,10,13,9,3,-17,-7,-5,-18,"1,180",Cr,Screener
Depreciation,29,36,56,71,102,137,271,302,355,444,629,822,940,Cr,Screener
Profit before tax,"1,091","1,357","1,965","2,818","3,831","6,035","6,808","5,363","8,586","13,882","17,053","21,676","22,092",Cr,Screener
Tax %,34%,34%,35%,35%,35%,36%,28%,26%,26%,26%,26%,23%,,%,Screener
Net Profit +,719,898,"1,279","1,837","2,485","3,890","4,881","3,956","6,350","10,290","12,644","16,662","16,905",Cr,Screener
EPS in Rs,1.43,1.79,2.37,3.34,4.30,6.73,8.11,6.56,10.49,17.00,20.43,26.81,27.18,₹,Screener
Dividend Payout %,11%,10%,10%,11%,9%,9%,12%,15%,19%,18%,18%,21%,,%,Screener
