Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Unit,Source
Cash from Operating Activity +,"-6,087","-7,147","-9,871","-10,440","-17,191","-15,694","-14,110","4,386","-23,856","-27,302","-52,380","-50,995",Cr,Screener
Cash from Investing Activity +,-96,-365,-686,"-3,048",505,"-6,638","-9,633",424,"3,806","-12,400","-9,721","-1,099",Cr,Screener
Cash from Financing Activity +,"6,543","6,953","11,656","12,516","16,589","22,344","24,177","-4,113","21,550","38,021","64,774","51,604",Cr,Screener
Net Cash Flow,360,-559,"1,099",-972,-97,13,435,697,"1,501","-1,682","2,674",-491,Cr,Screener
