Metric,Value,Unit,Source,Data Point
Market Cap,"₹ 3,73,565 Cr",Cr,Screener,Current snapshot
Current Price,"₹ 12,677",₹,Screener,Current snapshot
Stock P/E,49.5,x,Screener,Current snapshot
Book Value,"₹ 2,401",₹,Screener,Current snapshot
Dividend Yield,0.61 %,%,Screener,Current snapshot
ROCE,11.7 %,%,Screener,Current snapshot
ROE,9.69 %,%,Screener,Current snapshot
Face Value,₹ 10.0,₹,Screener,Current snapshot
