Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Unit,Source
Cash from Operating Activity +,"3,242","4,083","4,354","4,723","3,618","6,116","8,259","11,549","8,670","9,757","10,899","9,576",Cr,Screener
Cash from Investing Activity +,"-2,210","-1,879","-3,757","-2,365","1,897","-3,988","-3,951","-8,984",789,"-7,122","-7,830","-15,373",Cr,Screener
Cash from Financing Activity +,-897,"-2,267",-582,"-2,383","-5,501","-1,769","-4,591","-2,586","-9,501","-2,379","-2,861","5,566",Cr,Screener
Net Cash Flow,135,-63,15,-25,13,360,-283,-21,-42,257,208,-230,Cr,Screener
