Metric,Value,Unit,Source,Data Point
Market Cap,"₹ 1,44,581 Cr",Cr,Screener,Current snapshot
Current Price,"₹ 6,002",₹,Screener,Current snapshot
Stock P/E,59.4,x,Screener,Current snapshot
Book Value,₹ 136,₹,Screener,Current snapshot
Dividend Yield,1.25 %,%,Screener,Current snapshot
ROCE,56.8 %,%,Screener,Current snapshot
ROE,58.0 %,%,Screener,Current snapshot
Face Value,₹ 1.00,₹,Screener,Current snapshot
