Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Unit,Source
Cash from Operating Activity +,615,515,878,402,"1,183","1,114","1,660","1,792","1,206","2,442","2,234","2,373",Cr,Screener
Cash from Investing Activity +,-227,-384,-659,-115,-823,-831,"-1,568",486,931,"-1,386",508,184,Cr,Screener
Cash from Financing Activity +,-325,-168,-228,-284,-304,-326,-94,"-2,222","-2,212","-1,048","-2,510","-2,759",Cr,Screener
Net Cash Flow,62,-37,-9,3,56,-44,-3,56,-75,8,232,-203,Cr,Screener
