Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Unit,Source
Cash from Operating Activity +,"13,620","12,605",-783,-744,302,-933,"-2,051",522,"2,230","1,211",401,"1,171",Cr,Screener
Cash from Investing Activity +,"8,875",258,"18,340","18,867","8,207","9,623","10,439","6,346","8,953","12,653","14,573","15,735",Cr,Screener
Cash from Financing Activity +,"-23,101","-12,942","-17,381","-17,674","-9,085","-8,781","-7,396","-7,707","-10,783","-14,328","-15,098","-16,239",Cr,Screener
Net Cash Flow,-605,-79,177,449,-575,-91,992,-838,399,-464,-124,668,Cr,Screener
