Metric,Value,Unit,Source,Data Point
Market Cap,"₹ 2,65,398 Cr",Cr,Screener,Current snapshot
Current Price,₹ 431,₹,Screener,Current snapshot
Stock P/E,16.1,x,Screener,Current snapshot
Book Value,₹ 32,₹,Screener,Current snapshot
Dividend Yield,6.15 %,%,Screener,Current snapshot
ROCE,96.6 %,%,Screener,Current snapshot
ROE,96.1 %,%,Screener,Current snapshot
Face Value,₹ 10.0,₹,Screener,Current snapshot
