Metric,Value,Unit,Source,Data Point
Market Cap,"₹ 2,07,801 Cr",Cr,Screener,Current snapshot
Current Price,₹ 925,₹,Screener,Current snapshot
Stock P/E,23.9,x,Screener,Current snapshot
Book Value,₹ 326,₹,Screener,Current snapshot
Dividend Yield,0.54 %,%,Screener,Current snapshot
ROCE,12.9 %,%,Screener,Current snapshot
ROE,8.98 %,%,Screener,Current snapshot
Face Value,₹ 1.00,₹,Screener,Current snapshot
