Metric,Value,Unit,Source,Data Point
Market Cap,"₹ 1,12,461 Cr",Cr,Screener,Current snapshot
Current Price,"₹ 7,822",₹,Screener,Current snapshot
Stock P/E,77.4,x,Screener,Current snapshot
Book Value,₹ 648,₹,Screener,Current snapshot
Dividend Yield,0.24 %,%,Screener,Current snapshot
ROCE,16.4 %,%,Screener,Current snapshot
ROE,15.1 %,%,Screener,Current snapshot
Face Value,₹ 5.00,₹,Screener,Current snapshot
