Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Revenue +,"86,616","92,951","95,975","101,379","106,734","111,043","111,526","113,871","117,427","119,666","117,996","119,654","122,556",Cr,Screener
Interest,"48,547","52,559","57,070","61,879","66,918","69,387","70,401","72,251","75,981","76,892","76,923","76,670","77,366",Cr,Screener
Expenses +,"30,078","33,049","28,173","30,989","31,626","31,887","29,288","32,102","29,847","42,140","32,633","36,399","35,193",Cr,Screener
Financing Profit,"7,991","7,344","10,732","8,511","8,189","9,769","11,837","9,517","11,599",634,"8,440","6,585","9,997",Cr,Screener
Other Income +,"11,468","13,961","12,063","10,791","4,359","17,369","11,162","15,271","11,041","24,210","17,346","19,919","18,359",Cr,Screener
Depreciation,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,Cr,Screener
Profit before tax,"19,459","21,305","22,796","19,301","12,548","27,138","22,999","24,788","22,640","24,844","25,785","26,504","28,355",Cr,Screener
Net Profit +,"14,205","16,695","16,884","14,330","9,164","20,698","17,035","18,331","16,891","18,643","19,160","20,160","21,028",Cr,Screener
EPS in Rs,15.92,18.71,18.92,16.06,10.27,23.19,19.09,20.54,18.93,20.89,21.47,21.84,22.78,₹,Screener
