Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Unit,Source
Cash from Operating Activity +,"14,107","27,621","11,197","11,060","-85,425","34,628","25,688","89,866","58,415","-91,352","19,022","45,860",Cr,Screener
Cash from Investing Activity +,-189,"-3,126","-2,991","-4,776","101,061","-2,948",-433,"-3,556","-1,724",-503,"-2,264",-106,Cr,Screener
Cash from Financing Activity +,"3,811","-2,289","4,506","-1,780","4,291","-1,088","3,352","5,633","-5,178","5,202","-13,855","-16,327",Cr,Screener
Net Cash Flow,"17,729","22,206","12,712","4,504","19,927","30,591","28,607","91,942","51,514","-86,653","2,902","29,428",Cr,Screener
