Metric,Value,Unit,Source,Data Point
Market Cap,"₹ 11,09,243 Cr",Cr,Screener,Current snapshot
Current Price,"₹ 1,202",₹,Screener,Current snapshot
Stock P/E,14.7,x,Screener,Current snapshot
Book Value,₹ 585,₹,Screener,Current snapshot
Dividend Yield,1.32 %,%,Screener,Current snapshot
ROCE,6.37 %,%,Screener,Current snapshot
ROE,17.3 %,%,Screener,Current snapshot
Face Value,₹ 1.00,₹,Screener,Current snapshot
