Metric,Dec 2013,Dec 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Unit,Source
Cash from Operating Activity +,368,686,"1,474","1,761","2,515","1,608","1,718","1,674","1,570","2,786","3,845","3,830",Cr,Screener
Cash from Investing Activity +,-298,-598,"-1,017","-1,752","-2,158",-673,"-1,506","-1,615","-1,138","-2,374","-2,995","-2,443",Cr,Screener
Cash from Financing Activity +,-55,-86,-466,-19,-280,-334,-883,-16,-474,-441,-796,"-1,315",Cr,Screener
Net Cash Flow,15,2,-8,-10,76,601,-671,44,-42,-29,53,72,Cr,Screener
