Metric,Value,Unit,Source,Data Point
Market Cap,"₹ 2,19,739 Cr",Cr,Screener,Current snapshot
Current Price,"₹ 8,010",₹,Screener,Current snapshot
Stock P/E,44.2,x,Screener,Current snapshot
Book Value,₹ 701,₹,Screener,Current snapshot
Dividend Yield,0.87 %,%,Screener,Current snapshot
ROCE,31.7 %,%,Screener,Current snapshot
ROE,25.1 %,%,Screener,Current snapshot
Face Value,₹ 1.00,₹,Screener,Current snapshot
