Metric,Value,Unit,Source,Data Point
Market Cap,"₹ 2,78,729 Cr",Cr,Screener,Current snapshot
Current Price,"₹ 9,972",₹,Screener,Current snapshot
Stock P/E,30.4,x,Screener,Current snapshot
Book Value,"₹ 1,100",₹,Screener,Current snapshot
Dividend Yield,2.11 %,%,Screener,Current snapshot
ROCE,37.6 %,%,Screener,Current snapshot
ROE,28.5 %,%,Screener,Current snapshot
Face Value,₹ 10.0,₹,Screener,Current snapshot
