Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Unit,Source
Debtor Days,14,12,12,16,22,31,21,36,17,18,17,17,Days,Screener
Inventory Days,17,20,17,18,16,16,18,28,18,20,20,20,Days,Screener
Days Payable,56,43,49,56,68,63,56,85,55,57,64,65,Days,Screener
Cash Conversion Cycle,-24,-11,-20,-22,-31,-17,-16,-22,-19,-20,-27,-28,Days,Screener
Working Capital Days,-34,-23,-4,-3,-21,-4,-9,-0,-3,-10,-31,-18,Days,Screener
ROCE %,52%,42%,46%,35%,32%,31%,31%,26%,24%,28%,38%,38%,%,Screener
