Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Unit,Source
Cash from Operating Activity +,"3,546","2,147","3,657","3,339","4,261","2,490","3,862","3,114","4,208","5,512","7,478","7,267",Cr,Screener
Cash from Investing Activity +,"-2,141",-414,-30,"-3,687","-1,894",-271,"1,757","-2,867",-92,"1,322",-139,"-3,648",Cr,Screener
Cash from Financing Activity +,"-1,468","-1,644","-3,384",-190,"-1,885","-2,074","-6,247",-20,"-4,056","-7,179","-7,110","-3,254",Cr,Screener
Net Cash Flow,-64,89,242,-538,481,144,-628,228,59,-345,229,365,Cr,Screener
