Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM,Unit,Source
Sales +,"20,088","21,593","22,574","21,755","25,210","30,358","29,919","27,741","33,145","36,428","44,685","50,010","54,875",Cr,Screener
Operating Profit,"4,113","4,132","4,794","4,432","4,848","5,201","5,110","4,942","5,268","6,563","8,802","10,096","11,145",Cr,Screener
OPM %,20%,19%,21%,20%,19%,17%,17%,18%,16%,18%,20%,20%,20%,%,Screener
Other Income +,699,227,"1,062","1,213","1,251","1,772","1,720","1,263","1,516","1,167","1,423","1,424","1,461",Cr,Screener
Interest,0,6,1,1,1,4,3,7,9,39,54,68,48,Cr,Screener
Depreciation,180,267,307,307,315,266,246,259,269,282,350,400,446,Cr,Screener
Profit before tax,"4,632","4,085","5,547","5,336","5,783","6,703","6,580","5,939","6,505","7,409","9,822","11,052","12,112",Cr,Screener
Tax %,30%,31%,29%,28%,30%,30%,22%,23%,23%,24%,24%,26%,,%,Screener
Net Profit +,"3,243","2,814","3,930","3,828","4,068","4,675","5,100","4,555","5,019","5,628","7,479","8,151","9,128",Cr,Screener
EPS in Rs,112.08,97.24,135.80,132.27,140.59,161.57,176.25,157.40,173.44,198.89,267.88,291.90,326.79,₹,Screener
Dividend Payout %,45%,51%,40%,42%,43%,37%,68%,89%,81%,70%,30%,72%,,%,Screener
