Metric,Value,Unit,Source,Data Point
Market Cap,"₹ 8,400 Cr",Cr,Screener,Current snapshot
Current Price,₹ 87,₹,Screener,Current snapshot
Stock P/E,18.1,x,Screener,Current snapshot
Book Value,₹ 111,₹,Screener,Current snapshot
Dividend Yield,2.78 %,%,Screener,Current snapshot
ROCE,9.83 %,%,Screener,Current snapshot
ROE,7.58 %,%,Screener,Current snapshot
Face Value,₹ 1.00,₹,Screener,Current snapshot
