Metric,Value,Unit,Source,Data Point
Market Cap,"₹ 1,33,034 Cr",Cr,Screener,Current snapshot
Current Price,"₹ 1,358",₹,Screener,Current snapshot
Stock P/E,31.6,x,Screener,Current snapshot
Book Value,₹ 221,₹,Screener,Current snapshot
Dividend Yield,3.31 %,%,Screener,Current snapshot
ROCE,18.2 %,%,Screener,Current snapshot
ROE,14.0 %,%,Screener,Current snapshot
Face Value,₹ 5.00,₹,Screener,Current snapshot
