Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Unit,Source
Debtor Days,88,81,90,72,79,80,78,89,101,89,82,81,Days,Screener
Cash Conversion Cycle,88,81,90,72,79,80,78,89,101,89,82,81,Days,Screener
Working Capital Days,46,57,69,69,61,34,71,49,60,45,34,24,Days,Screener
ROCE %,44%,29%,30%,24%,26%,27%,25%,23%,25%,19%,11%,18%,%,Screener
