Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Unit,Source
Cash from Operating Activity +,"1,294","2,108","2,876","3,332","3,273","3,634","2,380","6,852","3,213","4,102","5,123","4,293",Cr,Screener
Cash from Investing Activity +,352,"-1,637","-1,082","-2,590","-2,146","-1,529","3,306","-5,602","1,576",734,-41,513,Cr,Screener
Cash from Financing Activity +,-917,-770,-792,"-1,479","-1,210","-2,036","-4,842","-2,066","-4,607","-4,992","-4,747","-4,659",Cr,Screener
Net Cash Flow,729,-299,"1,002",-736,-82,69,844,-816,181,-156,334,146,Cr,Screener
