Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Unit,Source
Cash from Operating Activity +,"8,404","18,183","10,179","7,897","9,009","7,645","6,265","20,030","20,813","10,664","35,762","23,605",Cr,Screener
Cash from Investing Activity +,"-4,286","-7,909","-7,975","-10,130","-4,741","-7,537","-9,172","2,170","-7,350","-6,397","-11,661","-18,796",Cr,Screener
Cash from Financing Activity +,"-6,244","-9,121","-1,840",567,"-4,423",-87,"2,940","-15,622","-18,662","-3,666","-25,466","-4,916",Cr,Screener
Net Cash Flow,"-2,126","1,153",364,"-1,666",-155,21,34,"6,578","-5,198",601,"-1,365",-107,Cr,Screener
