Metric,Value,Unit,Source,Data Point
Market Cap,"₹ 1,67,206 Cr",Cr,Screener,Current snapshot
Current Price,₹ 385,₹,Screener,Current snapshot
Stock P/E,6.80,x,Screener,Current snapshot
Book Value,₹ 211,₹,Screener,Current snapshot
Dividend Yield,4.54 %,%,Screener,Current snapshot
ROCE,19.6 %,%,Screener,Current snapshot
ROE,18.7 %,%,Screener,Current snapshot
Face Value,₹ 10.0,₹,Screener,Current snapshot
