Metric,Value,Unit,Source,Data Point
Market Cap,"₹ 3,09,277 Cr",Cr,Screener,Current snapshot
Current Price,"₹ 1,265",₹,Screener,Current snapshot
Stock P/E,42.9,x,Screener,Current snapshot
Book Value,₹ 341,₹,Screener,Current snapshot
Dividend Yield,0.22 %,%,Screener,Current snapshot
ROCE,10.2 %,%,Screener,Current snapshot
ROE,8.89 %,%,Screener,Current snapshot
Face Value,₹ 1.00,₹,Screener,Current snapshot
