Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Unit,Source
Cash from Operating Activity +,"5,274","8,466","5,670","8,561","12,174","15,578","14,110","17,733","23,335","20,444","5,449","16,891",Cr,Screener
Cash from Investing Activity +,"-4,687","-6,275","-5,033","-6,284","-6,134","-11,432","-19,092","-2,609","-17,652","-7,361","-8,687","-9,979",Cr,Screener
Cash from Financing Activity +,-366,"-1,805",-982,"-2,030","-6,301",725,"3,054","-7,441","-9,134","-7,085","-5,477","-2,270",Cr,Screener
Net Cash Flow,220,386,-345,247,-261,"4,871","-1,928","7,683","-3,451","5,998","-8,715","4,642",Cr,Screener
