Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Unit,Source
Debtor Days,104,97,114,103,101,115,120,130,124,231,152,253,Days,Screener
Inventory Days,120,152,156,137,135,133,86,113,108,99,30,38,Days,Screener
Days Payable,188,222,212,220,219,202,216,259,238,396,125,243,Days,Screener
Cash Conversion Cycle,35,27,57,19,18,47,-10,-16,-7,-66,57,48,Days,Screener
Working Capital Days,67,35,59,72,62,27,16,4,-5,-7,-60,175,Days,Screener
ROCE %,16%,13%,10%,7%,8%,7%,9%,8%,17%,10%,13%,1%,%,Screener
