Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Unit,Source
Cash from Operating Activity +,"1,139",497,-63,"1,021",497,664,"1,773","1,820","2,349","1,667",-411,-923,Cr,Screener
Cash from Investing Activity +,-84,-131,364,268,-305,-439,-435,"-1,175","-1,481","1,210",-462,843,Cr,Screener
Cash from Financing Activity +,"-1,199",-459,-322,"-1,295",-158,-241,"-1,277",-502,-643,"-2,689",325,38,Cr,Screener
Net Cash Flow,-144,-93,-21,-6,34,-16,61,143,225,188,-548,-42,Cr,Screener
