Metric,Value,Unit,Source,Data Point
Market Cap,"₹ 53,807 Cr",Cr,Screener,Current snapshot
Current Price,₹ 637,₹,Screener,Current snapshot
Stock P/E,107,x,Screener,Current snapshot
Book Value,₹ 162,₹,Screener,Current snapshot
Dividend Yield,0.94 %,%,Screener,Current snapshot
ROCE,1.26 %,%,Screener,Current snapshot
ROE,8.20 %,%,Screener,Current snapshot
Face Value,₹ 2.00,₹,Screener,Current snapshot
