Metric,Value,Unit,Source,Data Point
Market Cap,"₹ 3,84,189 Cr",Cr,Screener,Current snapshot
Current Price,"₹ 4,328",₹,Screener,Current snapshot
Stock P/E,85.8,x,Screener,Current snapshot
Book Value,₹ 201,₹,Screener,Current snapshot
Dividend Yield,0.25 %,%,Screener,Current snapshot
ROCE,17.2 %,%,Screener,Current snapshot
ROE,21.3 %,%,Screener,Current snapshot
Face Value,₹ 1.00,₹,Screener,Current snapshot
