Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Unit,Source
Cash from Operating Activity +,"1,602","1,990","1,713","2,313","2,411","3,214","3,170","3,042","3,012","2,714","3,743","5,471",Cr,Screener
Cash from Investing Activity +,"-2,314","-3,556","-2,954","-4,181",-550,"-2,403",-31,"-7,967","-8,803","-4,025","-1,994","-2,533",Cr,Screener
Cash from Financing Activity +,250,"1,917","1,498","1,717","-1,926","2,555","-2,581","3,827","7,308","-3,452","-1,468","-2,820",Cr,Screener
Net Cash Flow,-462,351,257,-151,-64,"3,367",558,"-1,098","1,517","-4,763",281,118,Cr,Screener
