Metric,Value,Unit,Source,Data Point
Market Cap,"₹ 3,50,432 Cr",Cr,Screener,Current snapshot
Current Price,"₹ 1,521",₹,Screener,Current snapshot
Stock P/E,176,x,Screener,Current snapshot
Book Value,₹ 130,₹,Screener,Current snapshot
Dividend Yield,0.46 %,%,Screener,Current snapshot
ROCE,8.85 %,%,Screener,Current snapshot
ROE,9.73 %,%,Screener,Current snapshot
Face Value,₹ 2.00,₹,Screener,Current snapshot
