Symbol
ADANIENT
ADANIPORTS
APOLLOHOSP
ASIANPAINT
AXISBANK
BAJAJ-AUTO
BAJFINANCE
BAJAJFINSV
BEL
BHARTIARTL
BPCL
BRITANNIA
CIPLA
COALINDIA
DIVISLAB
DRREDDY
EICHERMOT
GAIL
GRASIM
HCLTECH
HDFC
HDFCBANK
HINDALCO
HINDUNILVR
ICICIBANK
INDUSINDBK
INFY
ITC
JSWSTEEL
KOTAKBANK
LT
M&M
MARUTI
NTPC
ONGC
POWERGRID
PNB
RELIANCE
SBIN
SUNPHARMA
TATAMOTORS
TATASTEEL
TECHM
TITAN
UPL
ULTRACEMCO
VEDL
WIPRO
YESBANK
ZEEL
