Metric,Value,Unit,Source,Data Point
Market Cap,"₹ 3,92,917 Cr",Cr,Screener,Current snapshot
Current Price,₹ 314,₹,Screener,Current snapshot
Stock P/E,19.4,x,Screener,Current snapshot
Book Value,₹ 54,₹,Screener,Current snapshot
Dividend Yield,4.58 %,%,Screener,Current snapshot
ROCE,36.9 %,%,Screener,Current snapshot
ROE,27.9 %,%,Screener,Current snapshot
Face Value,₹ 1.00,₹,Screener,Current snapshot
