Metric,Value,Unit,Source,Data Point
Market Cap,"₹ 1,08,905 Cr",Cr,Screener,Current snapshot
Current Price,"₹ 1,348",₹,Screener,Current snapshot
Stock P/E,23.8,x,Screener,Current snapshot
Book Value,₹ 412,₹,Screener,Current snapshot
Dividend Yield,0.96 %,%,Screener,Current snapshot
ROCE,20.1 %,%,Screener,Current snapshot
ROE,16.0 %,%,Screener,Current snapshot
Face Value,₹ 2.00,₹,Screener,Current snapshot
