Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Unit,Source
Cash from Operating Activity +,"1,812","1,051","1,728","2,207","1,117","1,468","2,018","3,460","2,773","3,035","3,727","3,301",Cr,Screener
Cash from Investing Activity +,"-1,467","-1,194","-1,206","-1,192",-593,"-1,148","-1,127","-3,361","-2,464","-2,758","-2,883","-2,309",Cr,Screener
Cash from Financing Activity +,-404,180,-547,"-1,011",-351,-473,-694,-66,-427,-425,-709,"-1,074",Cr,Screener
Net Cash Flow,-59,37,-25,5,173,-153,197,33,-117,-148,135,-82,Cr,Screener
