Metric,Value,Unit,Source,Data Point
Market Cap,"₹ 2,27,925 Cr",Cr,Screener,Current snapshot
Current Price,"₹ 2,376",₹,Screener,Current snapshot
Stock P/E,56.7,x,Screener,Current snapshot
Book Value,₹ 199,₹,Screener,Current snapshot
Dividend Yield,1.04 %,%,Screener,Current snapshot
ROCE,27.3 %,%,Screener,Current snapshot
ROE,20.7 %,%,Screener,Current snapshot
Face Value,₹ 1.00,₹,Screener,Current snapshot
