Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Unit,Source
Debtor Days,26,24,23,29,29,28,24,36,42,42,43,39,Days,Screener
Inventory Days,121,122,106,141,117,117,127,133,143,120,121,143,Days,Screener
Days Payable,109,89,88,107,99,94,79,120,95,69,77,76,Days,Screener
Cash Conversion Cycle,38,57,42,62,47,51,72,49,91,93,88,106,Days,Screener
Working Capital Days,-2,7,14,30,25,20,39,41,67,62,57,59,Days,Screener
ROCE %,50%,49%,47%,41%,39%,37%,36%,36%,32%,36%,40%,27%,%,Screener
